sn,resp_id,hh_age,hh_size,dist2park,Literacy.of.HH.head,PC1,PC2,x.beta,x.lambda,oc.trunc,oc.cens,oc.naive,lowest_price,cv_usd
1,AMP013,1.2,8,-2.134,0,-0.272355883,1.358859937,2.150784383,0.595110022,-13626,-8623,-4948,200000,79
2,AMP017,3.4,5,-1.717,0,0.636502764,2.609828044,-0.195283674,0.817605976,-11472,-5595,449,300000,119
3,AMP034,1,4,-0.111,1,0.16825045,0.556592989,-0.787481198,0.878642585,-10999,-4955,1811,300000,119
4,AMP046,1.1,5,-0.515,1,0.734656111,-0.260176694,0.394404453,0.758689032,-11969,-6281,-907,150000,59
5,AMP053,1.8,10,-0.115,0,1.071845398,0.351541262,-0.904631678,0.890930841,-10909,-4835,2081,400000,159
6,AMP061,3.4,6,2.481,0,-0.191594833,0.50796606,-6.831862587,1.588033807,-7435,-1044,15719,180000,71
7,AMP063,0.5,6,2.161,0,0.04620766,0.986754981,-4.705994367,1.323110638,-8464,-1937,10828,300000,119
8,AMP067,0.8,5,2.084,0,-0.58879281,0.289486503,-4.610215348,1.311518063,-8515,-1987,10607,250000,99
9,AMP092,0.3,5,2.424,0,0.063475987,1.565271307,-5.307703063,1.396651625,-8151,-1639,12212,450000,179
10,AMP094,2,11,3.09,0,-0.698617576,0.293139577,-7.116845376,1.624562587,-7312,-955,16375,300000,119
11,AMP095,1.3,7,2.424,0,0.932034494,1.13347976,-5.456724971,1.41504975,-8077,-1571,12555,400000,159
12,AMP098,0.4,4,1.855,0,-0.915232665,0.335988364,-4.085595561,1.248598162,-8805,-2285,9400,200000,79
13,AMP099,1.4,8,2.424,1,0.174342649,2.079389125,-6.161587045,1.50301517,-7737,-1280,14177,400000,159
14,AMP102,2.5,8,2.083,0,0.80974285,1.208865373,-5.637793707,1.437499801,-7987,-1492,12972,30000,11
15,AMP107,1.6,8,-0.221,0,-0.466060597,0.313622878,-1.018293142,0.902919001,-10822,-4720,2343,110000,43
16,AMP114,2,2,1.277,1,-0.473716007,0.29182253,-3.873740206,1.223474221,-8926,-2414,8913,80000,31
17,AMP118,1.3,7,0.407,0,-1.278040412,-0.71171826,-1.704129081,0.976595386,-10318,-4065,3921,,
18,AMP122,4.1,11,1.424,1,-0.698617576,0.293139577,-5.438211294,1.412760181,-8086,-1580,12513,150000,59
19,AMP125,0.6,1,0.076,0,-0.274132324,-0.331556134,-0.598893169,0.859007628,-11147,-5153,1378,260000,103
20,AMP126,0.7,5,0.079,0,0.048991446,0.99468238,-1.17662567,0.919725622,-10703,-4563,2707,350000,139
21,AMP129,0.2,3,-0.035,1,0.525691135,0.423098814,-0.28540251,0.826775835,-11398,-5494,656,150000,59
22,AMP130,1.5,8,0.025,1,-0.179459857,-0.776177527,-0.812443167,0.881255105,-10980,-4930,1869,120000,47
23,AMP131,0.7,6,0.025,0,-1.963312845,-0.535685924,-0.953502753,0.896077484,-10871,-4785,2193,250000,99
24,AMP136,0.6,7,0.086,0,0.179075356,-0.040189486,-0.6210505,0.861305098,-11129,-5130,1429,200000,79
25,AMP138,1.3,6,0.127,0,0.497993345,0.041983788,-1.054335167,0.906733885,-10795,-4684,2425,190000,75
26,AMP141,1.1,4,0.095,0,1.568902257,-2.127155068,0.41218663,0.756942196,-11985,-6303,-948,50000,19
27,AMP142,2.9,6,0.095,1,0.977966957,1.264281845,-2.366418158,1.049827677,-9862,-3495,5444,200000,79
28,AMP144,1.2,8,-0.075,0,-0.492209196,-0.627205929,-0.616025048,0.860783792,-11133,-5135,1417,150000,59
29,AMP145,1.5,7,-0.101,0,0.229742589,1.085772148,-1.3247397,0.935558816,-10593,-4419,3048,250000,99
30,AMP146,1.7,6,0.108,0,0.5297882,0.423110665,-1.422474066,0.94606466,-10521,-4326,3273,200000,79
31,AMP183,1.6,10,2.271,1,-0.375587562,0.571263349,-5.479584163,1.417878237,-8065,-1561,12608,200000,79
32,AMP195,1.8,10,-0.008,1,1.058165618,0.684211602,-1.247802986,0.927321055,-10650,-4493,2871,600000,238
33,AMP200,1.7,8,-0.379,0,-0.305215916,-2.073109289,0.333375312,0.764697708,-11917,-6208,-767,1100000,438
34,AMP203,3.6,8,-0.97,0,0.222902749,0.346503494,-0.708392961,0.87038612,-11061,-5038,1629,80000,31
35,AMP301,1.5,7,-2.357,NA,-0.804331541,0.326433293,2.684530403,0.549184581,-14184,-9419,-6176,200000,79
36,AMP302,3,3,-2.367,NA,-1.543073162,-1.506807616,2.441461676,0.569870414,-13926,-9052,-5617,,
37,AMP303,4,7,-1.101,NA,-2.05990933,-1.113004079,-0.695774179,0.869071725,-11070,-5051,1600,100000,39
38,AMP304,0.6,5,-1.107,NA,-1.210266585,0.710681759,0.735241648,0.725518439,-12270,-6701,-1691,200000,79
39,AMP305,2,4,-0.046,NA,0.78104976,-2.010887122,-0.149016584,0.812914993,-11510,-5647,342,200000,79
40,AMP306,0.6,4,-0.081,NA,1.579967224,-1.459069555,0.715111826,0.727459076,-12252,-6676,-1645,100000,39
41,AMP307,0.7,7,2.348,NA,0.212252372,0.117772045,-4.708991726,1.323473936,-8462,-1935,10835,2000000,796
42,AMP308,0.3,3,2.159,NA,-1.183835479,-1.221154243,-3.925436407,1.229589408,-8896,-2382,9032,80000,31
43,AMP309,0.8,6,2.144,NA,-1.068358108,0.161817857,-4.792894313,1.333656009,-8417,-1891,11028,90000,35
44,AMP310,1.5,9,0.681,NA,0.344710604,0.431490761,-2.365013695,1.049670301,-9863,-3496,5441,60000,23
45,AMP311,1.8,9,0.179,NA,-0.852211777,-0.112155378,-1.75309055,0.981940743,-10283,-4021,4033,200000,79
46,AMP312,2,11,2.373,NA,0.401436695,0.923968822,-5.836063761,1.462200474,-7891,-1408,13428,500000,199
47,AMP313,3.3,2,1.865,NA,-1.087844608,0.106326063,-5.763067664,1.453092371,-7927,-1439,13260,500000,199
48,AMP314,3.4,7,2.588,NA,2.915502611,-2.072581444,-4.963672512,1.354455286,-8328,-1804,11421,210000,83
49,AMP315,3,6,1.997,NA,-0.464282993,-0.308923644,-5.451237946,1.414371061,-8079,-1574,12542,800000,318
50,AMP316,1.1,4,2.462,NA,1.144823928,0.809592685,-5.197128817,1.383046775,-8207,-1691,11958,160000,63
51,AMP317,0.8,6,2.544,NA,-0.588592301,-0.875859497,-4.885342272,1.344903054,-8369,-1844,11240,120000,47
52,AMP318,3,7,3.116,NA,-0.791934839,0.891076671,-8.053143121,1.746072732,-6929,-706,18529,100000,39
53,AMP319,2.8,2,2.396,NA,-0.479779016,-0.891360117,-5.771310261,1.45412002,-7923,-1435,13279,300000,119
54,AMP320,1.2,2,4.881,NA,-0.690446122,-0.840540379,-9.264569465,1.906410869,-6480,-465,21317,300000,119
55,AMP321,2.6,9,4.918,NA,1.100563491,0.079072228,-10.07033594,2.014812097,-6206,-347,23171,400000,159
56,AMP322,0.5,4,3.225,NA,-0.124549981,-0.954146276,-5.73489765,1.449581856,-7940,-1451,13195,50000,19
57,AMP323,2,8,0.197,NA,0.052070609,-0.376044444,-1.526795335,0.957329041,-10445,-4228,3513,800000,318
58,AMP324,4,3,1.384,NA,2.988747154,-0.934154111,-3.705976079,1.203698948,-9023,-2520,8527,50000,19
59,AMP325,2.3,9,0.926,NA,1.09001548,-0.851932935,-2.471830839,1.06166415,-9792,-3410,5687,200000,79
60,AMP326,0.8,4,1.472,NA,-0.819827563,-0.256003181,-3.35378949,1.162538186,-9234,-2754,7716,80000,31
61,AMP327,3.3,5,3.232,NA,1.087797307,-0.328908403,-7.345890819,1.654079373,-7215,-888,16902,200000,79
62,AMP328,2.6,6,0.009,NA,-1.233025785,-0.972381801,-1.643853098,0.970030141,-10361,-4120,3782,180000,71
