sn,resp_id,hh_age,hh_size,dist2park,education,no_rooms,house_qual,tlu,food_sec,paddy,access_light,mplayer,lowest_price,cv_usd
1,AMP013,12,8,-2134,0,1,1,0.15,2.5,1,3,1,200000,79
2,AMP017,34,5,-1717,0,1,1,4.3,3,1,5,1,300000,119
3,AMP034,10,4,-111,0,1,1,0.56,9,0,2,1,300000,119
4,AMP046,11,5,-515,1,3,1,0.18,9,0,4,1,150000,59
5,AMP053,18,10,-115,1,2,1,0.53,12,0,4,1,400000,159
6,AMP061,34,6,2481,0,1,1,0.08,6,0,2,1,180000,71
7,AMP063,5,6,2161,0,1,1,0.06,3,0,4,1,300000,119
8,AMP067,8,5,2084,0,1,1,0,5,0,1,1,250000,99
9,AMP092,3,5,2424,1,1,1,0.13,3,1,4,1,450000,179
10,AMP094,20,11,3090,0,1,1,0.02,3,1,4,0,300000,119
11,AMP095,13,7,2424,0,2,1,1.47,10,1,4,1,400000,159
12,AMP098,4,4,1855,0,1,1,0,2,0,1,1,200000,79
13,AMP099,14,8,2424,0,1,1,5.16,6,1,2,1,400000,159
14,AMP102,25,8,2083,1,1,1,1.65,9,0,4,1,30000,11
15,AMP107,16,8,-221,0,1,1,0.2,6,0,1,1,110000,43
16,AMP114,20,2,1277,0,1,1,0.09,6,0,1,1,80000,31
17,AMP118,13,7,407,0,1,1,0,3,0,2,0,,
18,AMP122,41,11,1424,0,1,1,0.02,3,1,4,0,150000,59
19,AMP125,6,1,76,0,3,1,1.63,4,0,2,1,260000,103
20,AMP126,7,5,79,0,1,1,0.1,3,0,4,1,350000,139
21,AMP129,2,3,-35,0,2,1,0.5,7,0,4,1,150000,59
22,AMP130,15,8,25,0,3,1,0.8,8,0,1,1,120000,47
23,AMP131,7,6,25,0,0,1,0.04,2,0,0,0,250000,99
24,AMP136,6,7,86,0,2,1,0.52,9,0,2,1,200000,79
25,AMP138,13,6,127,0,3,1,1.47,6,0,4,1,190000,75
26,AMP141,11,4,95,0,2,2,0,5,1,4,0,50000,19
27,AMP142,29,6,95,0,2,1,2.13,10,1,4,1,200000,79
28,AMP144,12,8,-75,0,3,1,0.06,3,0,2,1,150000,59
29,AMP145,15,7,-101,0,2,1,0.76,4,1,4,1,250000,99
30,AMP146,17,6,108,0,4,1,2.18,3,1,5,1,200000,79
31,AMP183,16,10,2271,1,1,1,1.5,6,0,1,1,200000,79
32,AMP195,18,10,-8,0,4,1,7.76,7,0,4,1,600000,238
33,AMP200,17,8,-379,0,5,1,0.2,6,1,4,0,1100000,438
34,AMP203,36,8,-970,0,2,1,3.65,10,0,1,1,80000,31
35,AMP301,15,7,-2357,0,1,1,0.03,3,0,1,1,200000,79
36,AMP302,30,3,-2367,0,2,1,0.06,3,0,1,0,,
37,AMP303,40,7,-1101,0,1,1,0.02,1,0,0,0,100000,39
38,AMP304,6,5,-1107,0,0,1,0.02,2,0,0,1,200000,79
39,AMP305,20,4,-46,1,6,1,0.26,9,0,4,1,200000,79
40,AMP306,6,4,-81,1,1,2,0.32,6,0,1,1,100000,39
41,AMP307,7,7,2348,1,2,1,0.06,7,0,3,1,2000000,796
42,AMP308,3,3,2159,0,1,1,0.1,9,0,0,0,80000,31
43,AMP309,8,6,2144,0,1,1,0.3,3,0,0,1,90000,35
44,AMP310,15,9,681,0,2,1,2.9,9,0,2,1,60000,23
45,AMP311,18,9,179,0,2,1,0.71,2,0,1,1,200000,79
46,AMP312,20,11,2373,1,2,1,0.1,6,1,4,1,500000,199
47,AMP313,33,2,1865,0,1,1,0.02,3,0,0,1,500000,199
48,AMP314,34,7,2588,1,4,2,0.3,10,1,4,1,210000,83
49,AMP315,30,6,1997,0,2,1,0.03,6,0,1,1,800000,318
50,AMP316,11,4,2462,0,4,1,5.7,9,1,4,1,160000,63
51,AMP317,8,6,2544,0,2,1,0.02,4,0,4,0,120000,47
52,AMP318,30,7,3116,0,1,1,0.03,3,1,1,1,100000,39
53,AMP319,28,2,2396,1,2,1,0.02,5,0,4,0,300000,119
54,AMP320,12,2,4881,0,2,1,0.12,3,0,4,0,300000,119
55,AMP321,26,9,4918,0,6,1,7.8,7,1,4,1,400000,159
56,AMP322,5,4,3225,0,3,1,0.06,8,1,4,0,50000,19
57,AMP323,20,8,197,1,1,1,0.04,10,0,4,0,800000,318
58,AMP324,40,3,1384,0,2,2,0.18,11,1,4,1,50000,19
59,AMP325,23,9,926,0,4,1,0.4,12,0,4,1,200000,79
60,AMP326,8,4,1472,0,1,1,0.02,2,0,4,0,80000,31
61,AMP327,33,5,3232,0,4,1,0.19,12,1,4,1,200000,79
62,AMP328,26,6,9,0,1,1,0.02,6,0,1,0,180000,71
